SessionTime,Xcord,Ycord,Event,TrialTime,TrialType,TargetPeckNum,BackgroundPeckNum,TrialNum,TrialColor,Subject,Date
0:00:09.602350,445,429,ITI_peck,-52.42329,100,0,0,1,F.png,Peach,2026-03-04
0:00:09.742442,445,429,ITI_peck,-52.2832,100,0,0,1,F.png,Peach,2026-03-04
0:00:10.076568,535,311,ITI_peck,-51.94908,100,0,0,1,F.png,Peach,2026-03-04
0:00:10.239150,535,311,ITI_peck,-51.7865,100,0,0,1,F.png,Peach,2026-03-04
0:00:10.378701,535,311,ITI_peck,-51.64694,100,0,0,1,F.png,Peach,2026-03-04
0:00:10.619262,363,365,ITI_peck,-51.40638,100,0,0,1,F.png,Peach,2026-03-04
0:00:10.954133,363,365,ITI_peck,-51.07151,100,0,0,1,F.png,Peach,2026-03-04
0:00:25.762104,850,131,ITI_peck,-36.26353,100,0,0,1,F.png,Peach,2026-03-04
0:00:31.595998,636,455,ITI_peck,-30.42964,100,0,0,1,F.png,Peach,2026-03-04
0:00:31.743737,636,455,ITI_peck,-30.28191,100,0,0,1,F.png,Peach,2026-03-04
0:00:31.874705,636,455,ITI_peck,-30.15093,100,0,0,1,F.png,Peach,2026-03-04
0:00:37.778622,415,301,ITI_peck,-24.24702,100,0,0,1,F.png,Peach,2026-03-04
0:00:38.143393,273,393,ITI_peck,-23.88225,100,0,0,1,F.png,Peach,2026-03-04
0:00:38.514984,431,588,ITI_peck,-23.51066,100,0,0,1,F.png,Peach,2026-03-04
0:00:38.944611,677,605,ITI_peck,-23.08103,100,0,0,1,F.png,Peach,2026-03-04
0:00:39.460619,788,378,ITI_peck,-22.56503,100,0,0,1,F.png,Peach,2026-03-04
0:00:39.939377,516,155,ITI_peck,-22.08627,100,0,0,1,F.png,Peach,2026-03-04
0:00:40.440314,215,287,ITI_peck,-21.58533,100,0,0,1,F.png,Peach,2026-03-04
0:00:41.049292,523,571,ITI_peck,-20.97635,100,0,0,1,F.png,Peach,2026-03-04
0:00:41.592478,792,447,ITI_peck,-20.43316,100,0,0,1,F.png,Peach,2026-03-04
0:00:42.164809,482,198,ITI_peck,-19.86084,100,0,0,1,F.png,Peach,2026-03-04
0:00:42.732071,219,456,ITI_peck,-19.29357,100,0,0,1,F.png,Peach,2026-03-04
0:00:43.144238,519,579,ITI_peck,-18.88141,100,0,0,1,F.png,Peach,2026-03-04
0:00:43.652685,779,413,ITI_peck,-18.37296,100,0,0,1,F.png,Peach,2026-03-04
0:00:44.131186,507,207,ITI_peck,-17.89446,100,0,0,1,F.png,Peach,2026-03-04
0:00:44.545429,238,375,ITI_peck,-17.48022,100,0,0,1,F.png,Peach,2026-03-04
0:00:44.964953,520,557,ITI_peck,-17.06069,100,0,0,1,F.png,Peach,2026-03-04
0:00:45.431160,803,420,ITI_peck,-16.59449,100,0,0,1,F.png,Peach,2026-03-04
0:00:45.811535,490,256,ITI_peck,-16.21411,100,0,0,1,F.png,Peach,2026-03-04
0:00:46.185959,205,348,ITI_peck,-15.83969,100,0,0,1,F.png,Peach,2026-03-04
0:00:46.531685,454,514,ITI_peck,-15.49396,100,0,0,1,F.png,Peach,2026-03-04
0:00:56.874741,821,444,ITI_peck,-5.15089,100,0,0,1,F.png,Peach,2026-03-04
0:00:57.577483,623,390,ITI_peck,-4.44816,100,0,0,1,F.png,Peach,2026-03-04
0:00:57.911007,443,491,ITI_peck,-4.11463,100,0,0,1,F.png,Peach,2026-03-04
0:00:58.239996,598,583,ITI_peck,-3.78565,100,0,0,1,F.png,Peach,2026-03-04
0:00:58.590029,748,468,ITI_peck,-3.43562,100,0,0,1,F.png,Peach,2026-03-04
0:00:59.026485,564,304,ITI_peck,-2.99916,100,0,0,1,F.png,Peach,2026-03-04
0:00:59.494466,257,455,ITI_peck,-2.53118,100,0,0,1,F.png,Peach,2026-03-04
0:00:59.810833,410,613,ITI_peck,-2.21481,100,0,0,1,F.png,Peach,2026-03-04
0:01:00.111008,709,541,ITI_peck,-1.91464,100,0,0,1,F.png,Peach,2026-03-04
0:01:00.465346,416,313,ITI_peck,-1.5603,100,0,0,1,F.png,Peach,2026-03-04
0:01:03.932938,487,396,start_signal_press,1.9073,100,0,0,1,F.png,Peach,2026-03-04
0:01:05.969226,485,412,key_peck,1.03405,100,1,0,1,F.png,Peach,2026-03-04
0:01:06.132807,485,412,key_peck,1.19763,100,2,0,1,F.png,Peach,2026-03-04
0:01:06.469380,476,366,key_peck,1.53421,100,3,0,1,F.png,Peach,2026-03-04
0:01:06.648866,476,366,key_peck,1.71369,100,4,0,1,F.png,Peach,2026-03-04
0:01:06.956945,557,351,key_peck,2.02177,100,5,0,1,F.png,Peach,2026-03-04
0:01:07.112500,557,351,key_peck,2.17733,100,6,0,1,F.png,Peach,2026-03-04
0:01:07.428852,569,393,key_peck,2.49368,100,7,0,1,F.png,Peach,2026-03-04
0:01:07.574479,569,393,key_peck,2.63931,100,8,0,1,F.png,Peach,2026-03-04
0:01:07.856355,493,432,key_peck,2.92118,100,9,0,1,F.png,Peach,2026-03-04
0:01:08.194658,493,432,key_peck,3.25949,100,10,0,1,F.png,Peach,2026-03-04
0:01:14.944223,NA,NA,reinforced_trial,10.00906,100,10,0,1,F.png,Peach,2026-03-04
